	begindag	beginjaar	beginmaand	einddag	eindjaar	eindmaand	id	idcollege	idfunctie	idregent	lokaal	old_id	old_idcollege	old_idfunctie	old_idregent	opmerkingen	periode	provinciaal	regio	stand	vertegenwoordigend
12		1811.0			1813.0	11.0	17	159.0	275	281.0	2.0	batfra_17	batfra_159	batfra_275	batfra_281.0		2	0.0			0
13	19.0	1806.0	06		1807.0		18	67.0	83	105.0		batfra_18	batfra_67	batfra_83	batfra_105.0		2	0.0			0
14					1813.0	11.0	19	29.0	155	102.0		batfra_19	batfra_29	batfra_155	batfra_102.0		2	0.0			0
15	18.0	1810.0	11		1813.0	11.0	20	72.0	78	102.0		batfra_20	batfra_72	batfra_78	batfra_102.0		2				0
16	28.0	1810.0	10		1813.0	11.0	22	180.0	338	477.0		batfra_22	batfra_180	batfra_338	batfra_477.0		2	0.0			0
17	8.0	1807.0	05	13.0	1810.0	12.0	23	270.0	395	142.0		batfra_23	batfra_270	batfra_395	batfra_142.0		2	0.0			0
18	13.0	1810.0	12		1813.0	11.0	24	161.0	123	142.0		batfra_24	batfra_161	batfra_123	batfra_142.0	Overleden 3 december 1813.	2	0.0			0
19	3.0	1801.0	12	30.0	1805.0	4.0	26	128.0	307	6.0		batfra_26	batfra_128	batfra_307	batfra_6.0		2	0.0			0
20	1.0	1805.0	05	21.0	1806.0	6.0	27	233.0	303	6.0		batfra_27	batfra_233	batfra_303	batfra_6.0		2	0.0			0
21	1.0	1805.0	05	22.0	1806.0	6.0	28	119.0	338	6.0		batfra_28	batfra_119	batfra_338	batfra_6.0		2	0.0			0
22	22.0	1806.0	06	8.0	1808.0	1.0	29	7.0	387	6.0		batfra_29	batfra_7	batfra_387	batfra_6.0		2	0.0			0
23	13.0	1807.0	02	30.0	1808.0	9.0	30	7.0	525	6.0		batfra_30	batfra_7	batfra_525	batfra_6.0	Met gelijktijdige waarneming van de functie van secretaris. Herbenoemd als staatsraad voor 1808 op 14 december 1807.	2	0.0			0
24	27.0	1809.0	05	31.0	1810.0	12.0	32	4.0	9	6.0		batfra_32	batfra_4	batfra_9	batfra_6.0		2	0.0			0
25	8.0	1808.0	01	24.0	1809.0	5.0	33	2.0	8	6.0		batfra_33	batfra_2	batfra_8	batfra_6.0		2	0.0			0
26	23.0	1810.0	09	1.0	1810.0	12.0	34	131.0	84	6.0		batfra_34	batfra_131	batfra_84	batfra_6.0		2	0.0			0
27	12.0	1810.0	11		1813.0	11.0	35	29.0	72	6.0		batfra_35	batfra_29	batfra_72	batfra_6.0		2	0.0			0
28	19.0	1806.0	06	3.0	1808.0	2.0	36	67.0	374	413.0		batfra_36	batfra_67	batfra_374	batfra_413.0		2	0.0			0
29	14.0	1807.0	11	22.0	1808.0	12.0	37	7.0	525	439.0		batfra_37	batfra_7	batfra_525	batfra_439.0	Herbenoemd voor 1808 op 14 december 1807.	2	0.0			0
30	30.0	1809.0	06	1.0	1811.0	5.0	38	253.0	338	439.0		batfra_38	batfra_253	batfra_338	batfra_439.0		2	0.0			0
31				20.0	1813.0	11.0	39	53.0	238	263.0		batfra_39	batfra_53	batfra_238	batfra_263.0	In Den Helder.	2	0.0			0
32	1.0	1810.0	01		1813.0	11.0	40	30.0	55	83.0		batfra_40	batfra_30	batfra_55	batfra_83.0		2	0.0			0
33	17.0	1806.0	07		1810.0		41	4.0	307	113.0		batfra_41	batfra_4	batfra_307	batfra_113.0		2	0.0			0
34	5.0	1805.0	07	17.0	1806.0	7.0	42	23.0	338	113.0		batfra_42	batfra_23	batfra_338	batfra_113.0		2	0.0			0
35	17.0	1806.0	07	22.0	1808.0	6.0	43	241.0	338	113.0		batfra_43	batfra_241	batfra_338	batfra_113.0		2	0.0			0
36	7.0	1805.0	05		1806.0	7.0	44	130.0	338	113.0		batfra_44	batfra_130	batfra_338	batfra_113.0		2	0.0			0
37	22.0	1808.0	06	16.0	1810.0	7.0	45	252.0	338	113.0		batfra_45	batfra_252	batfra_338	batfra_113.0		2	0.0			0
38	17.0	1804.0	08	1.0	1805.0	5.0	47	79.0	40	485.0		batfra_47	batfra_79	batfra_40	batfra_485.0		2	0.0			0
39	21.0	1807.0	01	26.0	1807.0	6.0	48	7.0	525	430.0		batfra_48	batfra_7	batfra_525	batfra_430.0	Nam in verband met een buitenlandse missie pas op 21 augustus 1807 sessie.	2	0.0			0
40	1.0	1810.0	01	1.0	1810.0	8.0	49	67.0	30	430.0		batfra_49	batfra_67	batfra_30	batfra_430.0		2	0.0			0
41	2.0	1803.0	05	1.0	1805.0	5.0	50	117.0	622	390.0		batfra_50	batfra_117	batfra_622	batfra_390.0		2	25.0			0
42	1.0	1811.0	01		1813.0	11.0	51	48.0	71	89.0		batfra_51	batfra_48	batfra_71	batfra_89.0		2	0.0			0
43	1.0	1811.0	01		1813.0	11.0	52	55.0	488	133.0		batfra_52	batfra_55	batfra_488	batfra_133.0		2	0.0			0
44		1812.0			1813.0	11.0	53	59.0	338	270.0		batfra_53	batfra_59	batfra_338	batfra_270.0		2	0.0			0
45	6.0	1809.0	02		1810.0	10.0	54	120.0	338	469.0		batfra_54	batfra_120	batfra_338	batfra_469.0		2	0.0			0
46					1803.0	2.0	55	74.0	335	382.0		batfra_55	batfra_74	batfra_335	batfra_382.0	Beëindigd door overlijden.	2	0.0			0
47	1.0	1811.0	01		1813.0	11.0	56	31.0	489	191.0		batfra_56	batfra_31	batfra_489	batfra_191.0		2	0.0			0
48	8.0	1807.0	05	1.0	1810.0	1.0	57	272.0	395	449.0		batfra_57	batfra_272	batfra_395	batfra_449.0		2	0.0			0
49	1.0	1811.0	01		1813.0	11.0	58	177.0	34	201.0		batfra_58	batfra_177	batfra_34	batfra_201.0		2	0.0			0
50	1.0	1811.0	01		1813.0	11.0	59	45.0	66	87.0		batfra_59	batfra_45	batfra_66	batfra_87.0		2	0.0			0
51	1.0	1811.0	01		1813.0	11.0	60	174.0	217	164.0		batfra_60	batfra_174	batfra_217	batfra_164.0		2	0.0			0
52	9.0	1808.0	04	31.0	1810.0	12.0	61	7.0	525	452.0		batfra_61	batfra_7	batfra_525	batfra_452.0	Gecontinueerd 22 december 1808.	2	0.0			0
53	23.0	1809.0	05	31.0	1811.0	12.0	62	4.0	247	452.0		batfra_62	batfra_4	batfra_247	batfra_452.0		2	0.0			0
54	1.0	1811.0	01		1813.0	11.0	64	59.0	111	154.0		batfra_64	batfra_59	batfra_111	batfra_154.0		2	0.0			0
55		1812.0					65	53.0	238	261.0		batfra_65	batfra_53	batfra_238	batfra_261.0	In Jever.	2	0.0			0
56	5.0	1799.0	06	17.0	1801.0	10.0	66	104.0	338	108.0		batfra_66	batfra_104	batfra_338	batfra_108.0	Een onmiddellijk verzoek om ontslag werd afgewezen.	2	0.0			0
57	21.0	1801.0	10	29.0	1805.0	4.0	67	77.0	338	108.0		batfra_67	batfra_77	batfra_338	batfra_108.0		2	0.0			0
58	30.0	1809.0	06	1.0	1811.0	5.0	68	253.0	338	108.0		batfra_68	batfra_253	batfra_338	batfra_108.0		2	0.0			0
59	14.0	1803.0	04	1.0	1805.0	5.0	69	118.0	84	108.0		batfra_69	batfra_118	batfra_84	batfra_108.0		2	0.0			0
60	17.0	1801.0	10	29.0	1805.0	4.0	71	77.0	338	320.0		batfra_71	batfra_77	batfra_338	batfra_320.0		2	0.0			0
61	20.0	1802.0	10	29.0	1805.0	4.0	72	77.0	338	317.0		batfra_72	batfra_77	batfra_338	batfra_317.0		2	0.0			0
62	27.0	1801.0	11	20.0	1802.0	10.0	73	114.0	338	317.0		batfra_73	batfra_114	batfra_338	batfra_317.0		2	0.0			0
63		1801.0			1803.0		74	212.0	338	481.0		batfra_74	batfra_212	batfra_338	batfra_481.0		2	0.0			0
64	1.0	1811.0	01		1813.0	11.0	75	39.0	55	79.0		batfra_75	batfra_39	batfra_55	batfra_79.0		2	0.0			0
65	25.0	1802.0	06	16.0	1810.0	7.0	76	24.0	338	376.0		batfra_76	batfra_24	batfra_338	batfra_376.0		2	0.0			0
66	16.0	1810.0	07	1.0	1811.0	3.0	77	255.0	338	376.0		batfra_77	batfra_255	batfra_338	batfra_376.0		2	0.0			0
67	21.0	1803.0	10	29.0	1805.0	4.0	78	77.0	338	384.0		batfra_78	batfra_77	batfra_338	batfra_384.0		2	0.0			0
68	21.0	1808.0	03	31.0	1810.0	12.0	81	25.0	491	197.0		batfra_81	batfra_25	batfra_491	batfra_197.0		2	0.0			0
69	14.0	1810.0	11		1813.0	11.0	82	44.0	172	197.0		batfra_82	batfra_44	batfra_172	batfra_197.0	 Première Sous-Division Hollande te Amsterdam.	2	0.0			0
70							83	88.0	338	197.0		batfra_83	batfra_88	batfra_338	batfra_197.0		2	0.0			0
71	2.0	1809.0	02	31.0	1810.0	12.0	84	120.0	338	463.0		batfra_84	batfra_120	batfra_338	batfra_463.0		2	0.0			0
72	14.0	1803.0	04	1.0	1805.0	5.0	85	118.0	622	393.0		batfra_85	batfra_118	batfra_622	batfra_393.0		2	11.0			0
73	1.0	1806.0	05		1808.0	1.0	86	14.0	387	36.0		batfra_86	batfra_14	batfra_387	batfra_36.0		2	0.0			0
74	5.0	1807.0	03	16.0	1810.0	7.0	87	24.0	338	431.0		batfra_87	batfra_24	batfra_338	batfra_431.0		2	0.0			0
75	16.0	1810.0	07	1.0	1811.0	3.0	88	255.0	338	431.0		batfra_88	batfra_255	batfra_338	batfra_431.0		2	0.0			0
76	28.0	1808.0	01		1810.0	7.0	89	2.0	509	43.0		batfra_89	batfra_2	batfra_509	batfra_43.0	Indexmaker.	2	0.0			0
77		1811.0					90	156.0	275	217.0	4.0	batfra_90	batfra_156	batfra_275	batfra_217.0		2	0.0			0
78		1802.0	05				91	128.0	492	513.0		batfra_91	batfra_128	batfra_492	batfra_513.0		2	0.0			0
79	27.0	1801.0	11	15.0	1805.0	3.0	92	114.0	338	341.0		batfra_92	batfra_114	batfra_338	batfra_341.0	Ambt neergelegd.	2	0.0			0
80	29.0	1806.0	07	24.0	1806.0	11.0	93	6.0	9	30.0		batfra_93	batfra_6	batfra_9	batfra_30.0		2	0.0			0
81	24.0	1806.0	11	6.0	1807.0	2.0	94	436.0	493	30.0		batfra_94	batfra_436	batfra_493	batfra_30.0		2	0.0			0
82	11.0	1806.0	07	29.0	1807.0	7.0	95	140.0	28	30.0		batfra_95	batfra_140	batfra_28	batfra_30.0	Met de titel Minister. De portefeuille werd voorlopig waargenomen door de Secretaris-Generaal Janssens in afwachting van de komst van Bonhomme.	2	0.0			0
83		1810.0			1813.0	11.0	96	161.0	275	220.0	5.0	batfra_96	batfra_161	batfra_275	batfra_220.0		2	0.0			0
84	12.0	1811.0	06		1813.0	11.0	98	161.0	275	294.0	6.0	batfra_98	batfra_161	batfra_275	batfra_294.0		2	0.0			0
85	13.0	1802.0	05	30.0	1805.0	4.0	99	128.0	303	57.0		batfra_99	batfra_128	batfra_303	batfra_57.0		2	0.0			0
86	5.0	1805.0	07	29.0	1805.0	11.0	101	23.0	84	57.0		batfra_101	batfra_23	batfra_84	batfra_57.0		2	0.0			0
87	7.0	1805.0	05	29.0	1805.0	11.0	102	130.0	338	57.0		batfra_102	batfra_130	batfra_338	batfra_57.0		2	0.0			0
88	3.0	1798.0	03		1801.0		103	127.0	303	57.0		batfra_103	batfra_127	batfra_303	batfra_57.0		2	0.0			0
89		1808.0	06	16.0	1810.0	7.0	104	252.0	204	57.0		batfra_104	batfra_252	batfra_204	batfra_57.0		2	0.0			0
90	4.0	1808.0	08	31.0	1810.0	12.0	106	20.0	387	42.0		batfra_106	batfra_20	batfra_387	batfra_42.0		2	0.0			0
91	16.0	1802.0	02	29.0	1805.0	4.0	108	199.0	338	359.0		batfra_108	batfra_199	batfra_338	batfra_359.0		2	0.0			0
92	26.0	1809.0	06	31.0	1811.0	12.0	109	200.0	338	359.0		batfra_109	batfra_200	batfra_338	batfra_359.0		2	0.0			0
93	21.0	1805.0	05	28.0	1806.0	6.0	111	134.0	303	18.0		batfra_111	batfra_134	batfra_303	batfra_18.0		2	0.0			0
94	11.0	1801.0	12	21.0	1805.0	5.0	112	230.0	303	18.0		batfra_112	batfra_230	batfra_303	batfra_18.0		2	0.0			0
95		1798.0		11.0	1801.0	12.0	113	133.0	303	18.0		batfra_113	batfra_133	batfra_303	batfra_18.0		2	0.0			0
96	28.0	1806.0	06	7.0	1810.0	3.0	114	11.0	387	18.0		batfra_114	batfra_11	batfra_387	batfra_18.0	Beëindigd door overlijden.	2	0.0			0
97	26.0	1809.0	06	31.0	1811.0	12.0	115	200.0	338	470.0		batfra_115	batfra_200	batfra_338	batfra_470.0		2	0.0			0
98	16.0	1802.0	02	29.0	1805.0	4.0	116	199.0	338	470.0		batfra_116	batfra_199	batfra_338	batfra_470.0		2	0.0			0
99	15.0	1806.0	10	21.0	1807.0	3.0	118	5.0	675	22.0		batfra_118	batfra_5	batfra_675	batfra_22.0	Divisie van Politie. Op eigen verzoek ontslagen.	2	0.0			0
100	4.0	1802.0	03	15.0	1805.0	3.0	119	114.0	303	21.0		batfra_119	batfra_114	batfra_303	batfra_21.0		2	0.0			0
101	15.0	1806.0	10	9.0	1808.0	3.0	120	5.0	675	21.0		batfra_120	batfra_5	batfra_675	batfra_21.0	Divisie Justitie.	2	0.0			0
102		1799.0	05	3.0	1800.0	6.0	121	212.0	338	483.0		batfra_121	batfra_212	batfra_338	batfra_483.0	Branger vroeg en kreeg ontslag omdat hij wegens weigering een ander ambt te aanvaarden van zijn stemrecht vervallen was verklaard.	2	0.0			0
103	4.0	1806.0	07	3.0	1808.0	2.0	122	67.0	376	323.0		batfra_122	batfra_67	batfra_376	batfra_323.0		2	0.0			0
104	5.0	1802.0	03	29.0	1805.0	4.0	127	202.0	338	347.0		batfra_127	batfra_202	batfra_338	batfra_347.0	Op eigen verzoek ontslagen.	2	0.0			0
105					1807.0		131	4.0	497	496.0		batfra_131	batfra_4	batfra_497	batfra_496.0		2	0.0			0
106	12.0	1807.0	05		1810.0		132	260.0	326	222.0		batfra_132	batfra_260	batfra_326	batfra_222.0		2	0.0			0
107	11.0	1807.0	11		1808.0		133	7.0	525	222.0		batfra_133	batfra_7	batfra_525	batfra_222.0		2	0.0			0
108					1808.0		135	21.0	360	411.0		batfra_135	batfra_21	batfra_360	batfra_411.0		2	0.0			0
109	2.0	1806.0	07	21.0	1809.0	2.0	136	67.0	375	414.0		batfra_136	batfra_67	batfra_375	batfra_414.0		2	0.0			0
110	5.0	1807.0	03	16.0	1810.0	7.0	138	24.0	338	432.0		batfra_138	batfra_24	batfra_338	batfra_432.0		2	0.0			0
111	16.0	1810.0	07	1.0	1811.0	3.0	139	255.0	338	432.0		batfra_139	batfra_255	batfra_338	batfra_432.0		2	0.0			0
112		1807.0			1810.0		142	6.0	499	309.0		batfra_142	batfra_6	batfra_499	batfra_309.0		2	0.0			0
113		1812.0			1813.0		143	63.0	288	309.0		batfra_143	batfra_63	batfra_288	batfra_309.0		2	0.0			0
114	28.0	1808.0	01		1808.0		144	2.0	509	42.0		batfra_144	batfra_2	batfra_509	batfra_42.0		2	0.0			0
115	17.0	1801.0	10	29.0	1805.0	4.0	145	77.0	338	323.0		batfra_145	batfra_77	batfra_338	batfra_323.0		2	0.0			0
116				1.0	1805.0	5.0	146	117.0	338	522.0		batfra_146	batfra_117	batfra_338	batfra_522.0		2	13.0			0
117	22.0	1809.0	01		1810.0	10.0	147	120.0	338	489.0		batfra_147	batfra_120	batfra_338	batfra_489.0		2	0.0			0
118	10.0	1803.0	10	16.0	1805.0	5.0	152	117.0	623	250.0		batfra_152	batfra_117	batfra_623	batfra_250.0	Op 1 mei 1805 voorlopig gecontinueerd. Beëindigd door overlijden.	2	0.0			0
119	23.0	1806.0	09				153	244.0	379	424.0		batfra_153	batfra_244	batfra_379	batfra_424.0		2	0.0			0
120	19.0	1811.0	02		1813.0	11.0	155	41.0	165	176.0		batfra_155	batfra_41	batfra_165	batfra_176.0		2	3.0			0
121		1811.0			1813.0	11.0	156	29.0	162	173.0		batfra_156	batfra_29	batfra_162	batfra_173.0		2	0.0			0
122	28.0	1810.0	10		1812.0		157	180.0	338	173.0		batfra_157	batfra_180	batfra_338	batfra_173.0		2	0.0			0
123	9.0	1798.0	03	24.0	1798.0	7.0	158	133.0	92	114.0		batfra_158	batfra_133	batfra_92	batfra_114.0	Vanaf 7 april 1798 alleen formeel Agent, wegens vertrek als gezant naar Parijs.	2	0.0			0
124	29.0	1811.0	06		1813.0	11.0	159	55.0	72	96.0		batfra_159	batfra_55	batfra_72	batfra_96.0		2	0.0			0
125	17.0	1806.0	07	21.0	1807.0	12.0	161	7.0	525	422.0		batfra_161	batfra_7	batfra_525	batfra_422.0	Met toestemming tevens lid te blijven van de regering van Amsterdam. Gecontinueerd 1 januari 1807.	2	0.0			0
126	1.0	1811.0	01		1813.0	11.0	163	69.0	135	71.0		batfra_163	batfra_69	batfra_135	batfra_71.0		2	0.0			0
127	1.0	1811.0	01		1813.0	11.0	164	29.0	48	71.0		batfra_164	batfra_29	batfra_48	batfra_71.0		2	0.0			0
128	2.0	1810.0	07	13.0	1810.0	7.0	165	186.0	338	8.0		batfra_165	batfra_186	batfra_338	batfra_8.0		2	0.0			0
129	8.0	1810.0	03				166	450.0	84	8.0		batfra_166	batfra_450	batfra_84	batfra_8.0		2	0.0			0
130	12.0	1807.0	05				167	260.0	326	8.0		batfra_167	batfra_260	batfra_326	batfra_8.0		2	0.0			0
131	10.0	1807.0	12	8.0	1808.0	1.0	168	12.0	9	8.0		batfra_168	batfra_12	batfra_9	batfra_8.0		2	0.0			0
132	6.0	1807.0	03	31.0	1807.0	12.0	169	7.0	525	8.0		batfra_169	batfra_7	batfra_525	batfra_8.0		2	0.0			0
133	3.0	1800.0	03	8.0	1801.0	12.0	170	137.0	92	8.0		batfra_170	batfra_137	batfra_92	batfra_8.0		2	0.0			0
134	16.0	1810.0	04	31.0	1810.0	12.0	171	6.0	9	8.0		batfra_171	batfra_6	batfra_9	batfra_8.0		2	0.0			0
135	20.0	1807.0	11	10.0	1807.0	12.0	172	5.0	9	8.0		batfra_172	batfra_5	batfra_9	batfra_8.0		2	0.0			0
136		1811.0			1813.0	11.0	173	41.0	165	8.0		batfra_173	batfra_41	batfra_165	batfra_8.0		2	0.0			0
137		1806.0			1810.0		174	259.0	34	26.0		batfra_174	batfra_259	batfra_34	batfra_26.0		2	0.0			0
138	11.0	1806.0	07	22.0	1808.0	6.0	175	4.0	387	26.0		batfra_175	batfra_4	batfra_387	batfra_26.0		2	0.0			0
139	30.0	1805.0	04	11.0	1806.0	7.0	176	129.0	500	26.0		batfra_176	batfra_129	batfra_500	batfra_26.0		2	0.0			0
140	2.0	1810.0	07	13.0	1810.0	7.0	177	186.0	338	16.0		batfra_177	batfra_186	batfra_338	batfra_16.0		2	0.0			0
141	27.0	1809.0	05	31.0	1809.0	12.0	178	10.0	9	16.0		batfra_178	batfra_10	batfra_9	batfra_16.0		2	0.0			0
142	1.0	1810.0	01	31.0	1810.0	12.0	180	150.0	9	16.0		batfra_180	batfra_150	batfra_9	batfra_16.0		2	0.0			0
143	22.0	1808.0	12	31.0	1809.0	12.0	181	7.0	525	16.0		batfra_181	batfra_7	batfra_525	batfra_16.0		2	0.0			0
144		1811.0			1813.0	11.0	182	158.0	275	277.0	9.0	batfra_182	batfra_158	batfra_275	batfra_277.0		2	0.0			0
145	1.0	1811.0	01		1813.0	11.0	186	182.0	169	98.0		batfra_186	batfra_182	batfra_169	batfra_98.0		2	0.0			0
146	1.0	1811.0	01		1813.0	11.0	187	61.0	66	98.0		batfra_187	batfra_61	batfra_66	batfra_98.0		2	0.0			0
147		1812.0			1813.0		188	29.0	160	170.0		batfra_188	batfra_29	batfra_160	batfra_170.0		2	0.0			0
148	15.0	1808.0	04	1.0	1810.0	12.0	189	18.0	303	169.0		batfra_189	batfra_18	batfra_303	batfra_169.0		2	0.0			0
149	1.0	1811.0	01		1813.0	11.0	190	32.0	55	77.0		batfra_190	batfra_32	batfra_55	batfra_77.0		2	0.0			0
150	26.0	1799.0	07	4.0	1802.0	6.0	191	449.0	326	528.0		batfra_191	batfra_449	batfra_326	batfra_528.0		2	21.0			0
151		1810.0					192	192.0	34	226.0		batfra_192	batfra_192	batfra_34	batfra_226.0		2	0.0			0
152	30.0	1809.0	08	31.0	1811.0	12.0	193	200.0	338	464.0		batfra_193	batfra_200	batfra_338	batfra_464.0		2	0.0			0
153	25.0	1808.0	08	1.0	1809.0	1.0	194	13.0	414	464.0		batfra_194	batfra_13	batfra_414	batfra_464.0		2	0.0			0
154	9.0	1806.0	10				200	4.0	307	416.0		batfra_200	batfra_4	batfra_307	batfra_416.0		2	0.0			0
155	9.0	1806.0	10	22.0	1808.0	6.0	201	241.0	338	416.0		batfra_201	batfra_241	batfra_338	batfra_416.0		2	0.0			0
156	22.0	1808.0	06	16.0	1810.0	7.0	202	252.0	338	416.0		batfra_202	batfra_252	batfra_338	batfra_416.0		2	0.0			0
157							203	173.0	232	257.0		batfra_203	batfra_173	batfra_232	batfra_257.0		2	0.0			0
158	21.0	1812.0	04		1813.0		204	181.0	275	287.0	10.0	batfra_204	batfra_181	batfra_275	batfra_287.0		2	0.0			0
159	16.0	1812.0	01		1813.0	11.0	205	40.0	55	75.0		batfra_205	batfra_40	batfra_55	batfra_75.0		2	0.0			0
160	1.0	1811.0	01	16.0	1812.0	1.0	206	176.0	66	75.0		batfra_206	batfra_176	batfra_66	batfra_75.0		2	0.0			0
161	8.0	1796.0	02		1805.0		207	262.0	414	514.0		batfra_207	batfra_262	batfra_414	batfra_514.0		2	0.0			0
162	1.0	1811.0	01		1813.0	11.0	208	164.0	509	155.0		batfra_208	batfra_164	batfra_509	batfra_155.0		2	0.0			0
163	20.0	1807.0	01	6.0	1808.0	2.0	209	248.0	45	68.0		batfra_209	batfra_248	batfra_45	batfra_68.0	Beëindigd door overlijden.	2	0.0			0
164	25.0	1802.0	06	16.0	1810.0	7.0	211	24.0	330	61.0		batfra_211	batfra_24	batfra_330	batfra_61.0		2	0.0			0
165	16.0	1810.0	07	1.0	1811.0	3.0	212	255.0	330	61.0		batfra_212	batfra_255	batfra_330	batfra_61.0		2	0.0			0
166	1.0	1811.0	01	22.0	1811.0	11.0	213	49.0	34	106.0		batfra_213	batfra_49	batfra_34	batfra_106.0		2	0.0			0
167	1.0	1811.0	01		1813.0	11.0	214	29.0	155	106.0		batfra_214	batfra_29	batfra_155	batfra_106.0		2	0.0			0
168		1810.0					215	192.0	157	106.0		batfra_215	batfra_192	batfra_157	batfra_106.0		2	0.0			0
169		1812.0	01		1813.0	11.0	216	40.0	164	106.0		batfra_216	batfra_40	batfra_164	batfra_106.0		2	0.0			0
170	19.0	1811.0	05		1813.0	11.0	217	159.0	275	280.0	11.0	batfra_217	batfra_159	batfra_275	batfra_280.0		2	0.0			0
171	25.0	1802.0	06	16.0	1810.0	7.0	218	24.0	338	375.0		batfra_218	batfra_24	batfra_338	batfra_375.0		2	0.0			0
172	17.0	1804.0	02	30.0	1805.0	4.0	221	80.0	303	399.0		batfra_221	batfra_80	batfra_303	batfra_399.0		2	0.0			0
173		1806.0	06	30.0	1810.0	7.0	222	243.0	303	399.0		batfra_222	batfra_243	batfra_303	batfra_399.0		2	0.0			0
174	8.0	1807.0	05		1810.0	4.0	223	278.0	395	448.0	382.0	batfra_223	batfra_278	batfra_395	batfra_448.0	Tevens Kwartierdrost van het Kwartier 's-Hertogenbosch.	2	0.0			0
175	1.0	1811.0	01		1813.0	11.0	224	44.0	164	157.0		batfra_224	batfra_44	batfra_164	batfra_157.0		2	0.0			0
176		1812.0			1813.0	11.0	225	29.0	162	235.0		batfra_225	batfra_29	batfra_162	batfra_235.0		2	0.0			0
177							226	53.0	238	235.0		batfra_226	batfra_53	batfra_238	batfra_235.0	In Dokkum.	2	0.0			0
178	23.0	1803.0	03	1.0	1805.0	5.0	227	117.0	622	385.0		batfra_227	batfra_117	batfra_622	batfra_385.0		2	12.0			0
179	6.0	1802.0	12		1805.0		228	223.0	326	368.0		batfra_228	batfra_223	batfra_326	batfra_368.0	Op 29 april 1805 in deze functie gecontinueerd. Hij zetelde te Zwolle.	2	0.0			0
180	22.0	1799.0	02		1802.0	6.0	229	449.0	326	368.0		batfra_229	batfra_449	batfra_326	batfra_368.0		2	20.0			0
181	19.0	1811.0	02		1813.0	11.0	230	41.0	165	182.0		batfra_230	batfra_41	batfra_165	batfra_182.0		2	5.0			0
182	5.0	1806.0	06	21.0	1807.0	11.0	232	21.0	32	53.0		batfra_232	batfra_21	batfra_32	batfra_53.0		2	0.0			0
183	8.0	1807.0	10	1.0	1810.0	8.0	233	7.0	525	438.0		batfra_233	batfra_7	batfra_525	batfra_438.0	Herbenoemd voor 1808 op 14 december 1807 en voor 1809 op 22 december 1808, voor 1810 op 1 januari 1810.	2	0.0			0
184	4.0	1803.0	05	24.0	1803.0	9.0	234	117.0	622	387.0		batfra_234	batfra_117	batfra_622	batfra_387.0		2	13.0			0
185	28.0	1807.0	01	16.0	1811.0	5.0	235	268.0	483	539.0		batfra_235	batfra_268	batfra_483	batfra_539.0		2	0.0			0
186	17.0	1811.0	04	20.0	1813.0	11.0	236	43.0	501	74.0		batfra_236	batfra_43	batfra_501	batfra_74.0		2	0.0			0
187	1.0	1811.0	01		1813.0	11.0	237	69.0	113	74.0		batfra_237	batfra_69	batfra_113	batfra_74.0		2	0.0			0
188	10.0	1811.0	01		1813.0	11.0	238	65.0	208	10.0		batfra_238	batfra_65	batfra_208	batfra_10.0		2	0.0			0
189	28.0	1808.0	01	1.0	1810.0	7.0	239	2.0	427	10.0		batfra_239	batfra_2	batfra_427	batfra_10.0		2	0.0			0
